age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,name,outcome_subtype,outcome_type,sex_upon_outcome
2 years,A673755,Dog,Pit Bull Mix,Chocolate/White,2012-02-01T00:00:00,2014-03-08T17:42:00,Mr. Johnson,partner,Return to Owner,Neutered Male
3 months,A683200,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-05-24T00:00:00,2014-08-29T13:22:00,Brody,partner,Adoption,Neutered Male
3 weeks,A678051,Cat,Domestic Shorthair,Brown Tabby,2014-04-11T00:00:00,2014-05-03T16:15:00,Lucy,Partner,Transfer,Intact Female
2 years,A683861,Dog,Dutch Shepherd Mix,Brown Brindle,2012-07-16T00:00:00,2014-07-21T11:21:00,Lucy,Partner,Transfer,Spayed Female
2 years,A666516,Dog,American Pit Bull Terrier Mix,Brown/White,2011-11-02T00:00:00,2013-11-08T15:55:00,Lucy,Partner,Transfer,Intact Male
2 years,A678645,Other,Raccoon Mix,Black,2012-05-11T00:00:00,2014-05-13T15:17:00,Lucy,partner,Relocate,Unknown
2 months,A676804,Cat,Domestic Shorthair Mix,Black/White,2014-03-20T00:00:00,2014-05-24T09:17:00,Lucy,Foster,Adoption,Neutered Male
12 years,A669195,Dog,Boxer/Doberman Pinsch,Red/Brown,2001-12-16T00:00:00,2013-12-16T18:43:00,Mimi,Suffering,Euthanasia,Intact Female
3 years,A664756,Dog,Chihuahua Shorthair Mix,White/Tan,2010-10-08T00:00:00,2013-10-13T17:17:00,Gucci,partner,Adoption,Spayed Female
9 months,A673355,Dog,Border Collie/Labrador Retriever,Black/White,2013-05-22T00:00:00,2014-03-01T14:33:00,Lucy,partner,Adoption,Spayed Female
6 months,A674189,Dog,Chihuahua Shorthair Mix,Tan/White,2013-09-09T00:00:00,2014-03-13T19:04:00,Kibbles,partner,Adoption,Neutered Male
11 months,A663957,Dog,Siberian Husky/German Shepherd,Buff,2012-10-27T00:00:00,2013-10-02T17:47:00,Lucy,partner,Adoption,Neutered Male
3 years,A682058,Other,Bat Mix,Brown,2011-06-23T00:00:00,2014-06-23T16:48:00,Lucy,Rabies Risk,Euthanasia,Unknown
2 years,A665961,Dog,Anatol Shepherd Mix,Tricolor,2011-10-25T00:00:00,2013-10-29T16:00:00,Lucy,Partner,Transfer,Intact Male
4 years,A664941,Dog,Pit Bull Mix,Red/White,2009-10-11T00:00:00,2013-10-12T18:14:00,Tequila,partner,Return to Owner,Spayed Female
4 months,A672194,Cat,Domestic Shorthair Mix,Brown Tabby,2014-01-29T00:00:00,2014-06-03T14:46:00,*Chestnut,Foster,Adoption,Neutered Male
1 year,A666538,Dog,Chihuahua Shorthair Mix,Brown/Black,2012-11-03T00:00:00,2013-11-13T16:35:00,Pasco,partner,Return to Owner,Intact Male
1 year,A671534,Cat,Snowshoe,Seal Point/White,2013-01-26T00:00:00,2014-03-31T18:14:00,Stella,partner,Adoption,Spayed Female
9 years,A667951,Cat,Domestic Shorthair Mix,Black/White,2004-11-25T00:00:00,2014-01-05T14:31:00,Duncan,partner,Adoption,Neutered Male
1 year,A680764,Dog,Blue Lacy Mix,Black/White,2013-06-07T00:00:00,2014-07-13T14:50:00,Rico,partner,Adoption,Neutered Male
2 years,A684101,Dog,Chihuahua Shorthair/Rat Terrier,Tricolor,2012-07-19T00:00:00,2014-08-21T14:21:00,*Cosco,Partner,Transfer,Neutered Male
9 years,A667950,Dog,Australian Cattle Dog Mix,Blue Tick,2004-11-25T00:00:00,2013-12-28T13:46:00,Shy-Anne,partner,Adoption,Spayed Female
10 months,A676084,Cat,Domestic Shorthair Mix,Brown Tabby,2013-06-04T00:00:00,2014-04-16T17:08:00,Ginger,partner,Adoption,Spayed Female
1 year,A665902,Other,Raccoon Mix,Gray/Black,2012-10-24T00:00:00,2013-10-24T14:36:00,Lucy,Rabies Risk,Euthanasia,Unknown
3 months,A665425,Cat,Domestic Shorthair Mix,Black,2013-08-26T00:00:00,2013-11-30T12:54:00,Collins,partner,Adoption,Neutered Male
4 years,A584195,Dog,Blue Lacy/Beagle,Fawn/White,2009-09-12T00:00:00,2014-03-02T15:44:00,Bryson,partner,Return to Owner,Neutered Male
2 years,A669523,Other,Bat Mix,Brown,2011-12-21T00:00:00,2013-12-22T08:26:00,Lucy,partner,Euthanasia,Unknown
1 year,A685559,Cat,Domestic Shorthair Mix,Brown Tabby,2013-08-09T00:00:00,2014-08-10T09:00:00,Lucy,SCRP,Transfer,Intact Female
2 months,A669736,Dog,Dachshund/Chihuahua Shorthair,Black/White,2013-11-04T00:00:00,2014-01-09T17:11:00,Trigger,Foster,Adoption,Neutered Male
2 years,A676407,Dog,Australian Cattle Dog Mix,White/Black,2012-04-09T00:00:00,2014-04-09T15:27:00,Hanna,partner,Return to Owner,Spayed Female
2 years,A676432,Dog,Chihuahua Shorthair Mix,Black,2012-04-09T00:00:00,2014-04-12T18:43:00,Tiny,partner,Return to Owner,Spayed Female
2 months,A678202,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-05T00:00:00,2014-06-26T09:11:00,*Dolce,Foster,Adoption,Spayed Female
7 years,A510475,Dog,Pit Bull Mix,Red/White,2006-11-27T00:00:00,2014-07-04T17:55:00,Duke,partner,Return to Owner,Neutered Male
2 months,A675219,Dog,German Shepherd Mix,Red,2014-02-04T00:00:00,2014-04-10T19:06:00,Milo,Foster,Adoption,Neutered Male
3 weeks,A683992,Dog,Chihuahua Longhair Mix,Black/Brown,2014-06-26T00:00:00,2014-07-22T11:30:00,Lucy,In Kennel,Died,Intact Male
2 months,A679723,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-03-25T00:00:00,2014-06-01T14:52:00,Lucy,Partner,Transfer,Intact Male
2 years,A671938,Cat,Domestic Shorthair Mix,Calico,2012-02-01T00:00:00,2014-02-04T15:33:00,Chloe,partner,Adoption,Spayed Female
2 weeks,A678385,Cat,Domestic Medium Hair Mix,Torbie,2014-04-20T00:00:00,2014-05-08T18:37:00,Lucy,Partner,Transfer,Intact Female
2 years,A649365,Dog,Pit Bull Mix,Black/White,2011-09-14T00:00:00,2014-05-04T16:46:00,*Barley,Foster,Adoption,Neutered Male
2 years,A678867,Cat,Domestic Shorthair Mix,Black,2012-05-13T00:00:00,2014-07-30T16:20:00,*Bonnie,Partner,Transfer,Spayed Female
4 years,A671820,Dog,Miniature Poodle Mix,Black/Brown,2010-01-31T00:00:00,2014-02-04T17:43:00,Aiden,partner,Adoption,Neutered Male
5 days,A674461,Dog,Pit Bull Mix,Sable/White,2014-03-08T00:00:00,2014-03-13T14:58:00,Lucy,Partner,Transfer,Intact Male
2 months,A664306,Dog,Australian Shepherd Mix,White/Tricolor,2013-08-01T00:00:00,2013-10-05T12:34:00,*Tiny,Partner,Transfer,Intact Female
3 years,A674391,Dog,Lhasa Apso,White,2011-03-12T00:00:00,2014-03-14T11:33:00,Dane,Partner,Transfer,Intact Male
1 year,A685652,Cat,Domestic Shorthair Mix,Blue/White,2013-08-10T00:00:00,2014-08-11T09:00:00,Lucy,SCRP,Transfer,Intact Female
2 years,A668421,Dog,American Bulldog Mix,Brown/White,2011-12-03T00:00:00,2013-12-11T17:08:00,Babaloo,Aggressive,Euthanasia,Neutered Male
2 months,A664179,Dog,Labrador Retriever/Basset Hound,Tan,2013-07-15T00:00:00,2013-10-06T13:16:00,Lucy,Partner,Transfer,Intact Male
2 months,A685062,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-06-04T00:00:00,2014-08-05T13:20:00,Lucy,partner,Adoption,Neutered Male
2 years,A682003,Dog,Dachshund/Chihuahua Shorthair,Black/Tan,2012-06-22T00:00:00,2014-07-27T17:48:00,*Sunshine,partner,Adoption,Spayed Female
3 years,A669922,Dog,Australian Cattle Dog,Blue Merle,2010-12-30T00:00:00,2013-12-31T15:40:00,Hunter,partner,Return to Owner,Neutered Male
1 year,A673922,Other,Bat Mix,Black/Brown,2013-03-04T00:00:00,2014-03-05T09:34:00,Lucy,Rabies Risk,Euthanasia,Unknown
8 months,A676948,Cat,Domestic Shorthair Mix,Torbie,2013-08-17T00:00:00,2014-04-18T14:47:00,Lucy,SCRP,Transfer,Intact Female
2 years,A677654,Dog,Labrador Retriever/German Shepherd,Chocolate/Tan,2012-04-27T00:00:00,2014-04-28T17:11:00,Jonsi,partner,Return to Owner,Spayed Female
2 months,A665896,Cat,Domestic Shorthair Mix,Orange Tabby,2013-09-30T00:00:00,2013-12-22T18:11:00,*Willow,Foster,Adoption,Spayed Female
1 year,A665256,Cat,Domestic Shorthair Mix,Orange Tabby/White,2012-10-15T00:00:00,2013-10-15T19:02:00,Jerry,Suffering,Euthanasia,Neutered Male
6 years,A671475,Dog,Cairn Terrier Mix,Tan,2008-01-25T00:00:00,2014-02-02T13:22:00,Mimi,Partner,Transfer,Spayed Female
2 months,A683328,Cat,Domestic Longhair Mix,Blue/White,2014-04-24T00:00:00,2014-07-15T17:48:00,Solo,partner,Adoption,Neutered Male
2 years,A677049,Dog,German Shepherd Mix,Brown/Black,2012-04-18T00:00:00,2014-04-19T14:22:00,Luna,partner,Return to Owner,Spayed Female
2 years,A666395,Dog,Chihuahua Shorthair Mix,Black/Tan,2011-10-31T00:00:00,2013-11-03T17:57:00,Sonny,partner,Adoption,Neutered Male
4 months,A668560,Cat,Domestic Shorthair Mix,White,2013-08-05T00:00:00,2013-12-11T17:39:00,Powder,partner,Adoption,Neutered Male
3 years,A642922,Dog,Blue Lacy/Great Dane,Tan/White,2010-12-01T00:00:00,2013-12-04T11:58:00,Bullet,partner,Return to Owner,Neutered Male
9 months,A672188,Dog,Blue Lacy Mix,Blue/Tricolor,2013-05-05T00:00:00,2014-02-17T18:07:00,Avery,partner,Adoption,Spayed Female
1 year,A682828,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-07-03T00:00:00,2014-07-04T09:00:00,Lucy,SCRP,Transfer,Intact Female
9 years,A683418,Cat,Domestic Shorthair Mix,Blue/White,2005-07-10T00:00:00,2014-07-25T16:00:00,Cindy,Partner,Transfer,Spayed Female
4 months,A676543,Dog,Jack Russell Terrier Mix,Tan,2013-12-11T00:00:00,2014-04-15T16:58:00,Lucy,Partner,Transfer,Intact Female
6 months,A664786,Other,Bat Mix,Brown,2013-04-08T00:00:00,2013-10-10T18:45:00,Lucy,partner,Disposal,Unknown
3 years,A680652,Dog,Shih Tzu Mix,White/Gray,2011-06-05T00:00:00,2014-06-08T13:58:00,Gaspi,partner,Return to Owner,Intact Male
12 years,A681992,Dog,Rat Terrier,Tricolor,2002-06-22T00:00:00,2014-08-02T19:36:00,Girlie,partner,Adoption,Spayed Female
3 years,A681999,Dog,Chihuahua Shorthair Mix,Tan,2011-06-22T00:00:00,2014-06-30T14:26:00,Lucy,Partner,Transfer,Neutered Male
2 months,A664265,Cat,Domestic Shorthair Mix,Brown Tabby,2013-07-17T00:00:00,2013-10-12T18:20:00,*Dixon,partner,Adoption,Neutered Male
2 years,A667284,Dog,Pit Bull Mix,Black,2011-11-15T00:00:00,2013-11-23T13:30:00,Lucy,Aggressive,Euthanasia,Intact Male
9 years,A672956,Dog,Miniature Pinscher Mix,Brown,2005-02-18T00:00:00,2014-02-24T15:46:00,Princess,Partner,Transfer,Intact Female
8 years,A632020,Dog,Labrador Retriever Mix,Black,2005-07-11T00:00:00,2013-11-26T15:18:00,Rocky,Behavior,Euthanasia,Neutered Male
2 months,A666536,Cat,Domestic Shorthair Mix,Black,2013-09-03T00:00:00,2013-11-05T12:34:00,Lucy,Suffering,Euthanasia,Intact Female
3 years,A591983,Dog,Labrador Retriever Mix,Black/White,2010-11-14T00:00:00,2014-02-02T14:19:00,Shadow,Partner,Transfer,Neutered Male
4 weeks,A683875,Cat,Domestic Shorthair Mix,Blue Tabby,2014-06-16T00:00:00,2014-07-16T15:00:00,Lucy,Partner,Transfer,Intact Male
6 months,A664929,Other,Bat Mix,Brown,2013-04-11T00:00:00,2013-10-11T10:43:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 year,A666752,Dog,Australian Kelpie/Whippet,Brown Brindle/White,2012-11-06T00:00:00,2013-11-07T18:06:00,Floyd,partner,Return to Owner,Neutered Male
3 months,A667606,Cat,Domestic Shorthair Mix,Torbie,2013-10-10T00:00:00,2014-01-19T16:47:00,*Treasure,Offsite,Adoption,Spayed Female
1 year,A685831,Dog,Great Pyrenees Mix,White,2013-02-01T00:00:00,2014-08-17T12:46:00,Buffy,Partner,Transfer,Spayed Female
2 years,A670007,Cat,Domestic Shorthair Mix,Calico,2011-12-31T00:00:00,2014-01-02T11:50:00,Lucy,SCRP,Transfer,Spayed Female
4 weeks,A667349,Other,Rabbit Sh Mix,Brown,2013-10-16T00:00:00,2013-11-17T11:49:00,Lucy,Partner,Transfer,Unknown
3 weeks,A686996,Cat,Domestic Shorthair Mix,Orange/White,2014-08-08T00:00:00,2014-08-30T12:57:00,Lucy,Partner,Transfer,Intact Male
10 months,A674417,Dog,Chihuahua Shorthair Mix,Tricolor,2013-05-12T00:00:00,2014-03-17T16:35:00,Russell,partner,Adoption,Neutered Male
2 years,A668743,Cat,Domestic Shorthair Mix,Black,2011-12-08T00:00:00,2013-12-17T18:01:00,*Suzanne,partner,Adoption,Spayed Female
2 months,A679315,Cat,Domestic Shorthair Mix,Torbie,2014-04-07T00:00:00,2014-06-29T18:55:00,Lucy,partner,Adoption,Spayed Female
3 years,A668401,Dog,Chihuahua Shorthair Mix,Brown/White,2010-12-03T00:00:00,2014-01-11T19:06:00,Brie,Foster,Adoption,Spayed Female
5 days,A674463,Dog,Pit Bull Mix,Sable/White,2014-03-08T00:00:00,2014-03-13T14:58:00,Lucy,Partner,Transfer,Intact Female
3 years,A671528,Cat,Domestic Shorthair Mix,White,2011-01-26T00:00:00,2014-01-27T16:25:00,Lucy,SCRP,Transfer,Neutered Male
2 months,A665681,Dog,Chihuahua Shorthair Mix,Tan/White,2013-08-21T00:00:00,2013-10-29T17:22:00,Lucy,partner,Adoption,Neutered Male
11 years,A678179,Dog,Chow Chow Mix,Gray,2003-05-05T00:00:00,2014-06-21T18:42:00,Maggie,partner,Return to Owner,Spayed Female
1 month,A684965,Cat,Domestic Shorthair,Tortie,2014-07-01T00:00:00,2014-08-06T14:23:00,*Ryan,Partner,Transfer,Intact Female
2 years,A666229,Dog,Rat Terrier Mix,Black/White,2011-10-29T00:00:00,2013-12-04T12:40:00,*Tobias,Partner,Transfer,Neutered Male
2 months,A659832,Dog,Labrador Retriever/Rhod Ridgeback,Brown,2013-07-23T00:00:00,2013-10-07T16:17:00,*Cooper,Foster,Adoption,Neutered Male
3 weeks,A665611,Cat,Domestic Shorthair Mix,Brown Tabby,2013-09-28T00:00:00,2013-10-20T15:00:00,Lucy,Partner,Transfer,Intact Male
1 year,A679487,Cat,Domestic Shorthair Mix,Black/White,2013-05-21T00:00:00,2014-05-22T19:17:00,Lucy,SCRP,Transfer,Unknown
3 weeks,A665609,Cat,Domestic Shorthair Mix,Brown Tabby,2013-09-28T00:00:00,2013-10-20T15:00:00,Lucy,Partner,Transfer,Intact Female
1 year,A685358,Cat,Domestic Shorthair Mix,Blue Tabby/White,2013-08-06T00:00:00,2014-08-07T09:00:00,Lucy,SCRP,Transfer,Unknown
2 months,A686629,Dog,Border Collie Mix,White/Black,2014-06-18T00:00:00,2014-08-25T18:54:00,Dot,partner,Adoption,Spayed Female
2 months,A666842,Dog,Labrador Retriever/Rottweiler,Black/Brown,2013-09-07T00:00:00,2013-11-08T15:02:00,Lucy,Partner,Transfer,Intact Male
10 months,A674925,Dog,Jack Russell Terrier Mix,Tan/White,2013-07-20T00:00:00,2014-06-16T15:44:00,*Nelly,partner,Adoption,Spayed Female
2 years,A672090,Dog,Anatol Shepherd Mix,Tricolor,2012-02-04T00:00:00,2014-02-10T11:32:00,Jumbo,partner,Return to Owner,Neutered Male
2 months,A667232,Dog,Australian Shepherd Mix,White/Black,2013-09-30T00:00:00,2013-12-09T17:50:00,*Sadie,Foster,Adoption,Spayed Female
1 year,A669477,Dog,Shiba Inu Mix,Tan/White,2012-06-21T00:00:00,2014-01-01T19:01:00,Lucy,Partner,Transfer,Intact Female
1 year,A677278,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-04-22T00:00:00,2014-05-17T11:25:00,*Biskit,Partner,Transfer,Spayed Female
3 months,A666109,Cat,Domestic Shorthair Mix,Orange Tabby/White,2013-07-29T00:00:00,2013-10-30T14:03:00,*Tom,partner,Adoption,Neutered Male
4 years,A685417,Cat,Domestic Shorthair Mix,Black/White,2010-08-07T00:00:00,2014-08-09T11:02:00,Willie,partner,Return to Owner,Neutered Male
9 years,A672746,Dog,Jack Russell Terrier Mix,White/Black,2005-02-16T00:00:00,2014-08-13T07:23:00,Manolo,partner,Return to Owner,Neutered Male
3 weeks,A676705,Cat,Domestic Medium Hair Mix,Blue Tabby,2014-04-08T00:00:00,2014-04-30T16:30:00,Lucy,Partner,Transfer,Intact Female
5 months,A668705,Cat,Domestic Shorthair Mix,Flame Point,2013-07-07T00:00:00,2013-12-14T12:29:00,Moe,partner,Adoption,Neutered Male
2 years,A662264,Dog,Pit Bull Mix,Black Brindle/White,2011-08-31T00:00:00,2013-12-28T12:05:00,Captain,partner,Adoption,Neutered Male
2 months,A681986,Cat,Domestic Shorthair Mix,Blue/White,2014-04-22T00:00:00,2014-06-26T16:17:00,Boomer,Partner,Transfer,Intact Male
1 year,A665604,Dog,Chihuahua Shorthair Mix,Tan/White,2012-10-20T00:00:00,2014-02-20T13:39:00,*Pixie Stick,Partner,Transfer,Spayed Female
4 weeks,A685620,Other,Bat,Brown/Black,2014-07-10T00:00:00,2014-08-11T08:45:00,Lucy,partner,Disposal,Unknown
2 years,A668962,Other,Bat Mix,Brown,2011-12-12T00:00:00,2013-12-12T15:15:00,Finch,Rabies Risk,Euthanasia,Unknown
8 months,A669640,Dog,Australian Kelpie Mix,Brown/White,2013-04-25T00:00:00,2014-01-03T11:58:00,Sissy,partner,Return to Owner,Intact Female
1 year,A664522,Dog,Chihuahua Shorthair Mix,White/Yellow,2012-10-04T00:00:00,2013-10-29T15:58:00,*Lucy,Partner,Transfer,Spayed Female
5 months,A686297,Dog,Pit Bull Mix,Blue/White,2014-03-19T00:00:00,2014-08-29T17:48:00,Boss,Aggressive,Euthanasia,Neutered Male
3 years,A670407,Dog,Pit Bull Mix,Brown Brindle/White,2011-01-07T00:00:00,2014-03-13T12:40:00,Buster,partner,Adoption,Neutered Male
2 months,A679702,Dog,Australian Shepherd Mix,Black/White,2014-04-29T00:00:00,2014-06-30T18:49:00,Lucy,Foster,Adoption,Spayed Female
2 years,A664042,Dog,Chow Chow Mix,Black,2011-09-28T00:00:00,2013-10-02T11:12:00,Lucy,Suffering,Euthanasia,Intact Male
13 years,A679797,Cat,Domestic Shorthair Mix,Orange Tabby,2001-05-26T00:00:00,2014-06-03T14:39:00,Genevieve,Partner,Transfer,Intact Female
2 years,A682583,Dog,Siberian Husky Mix,Black/White,2012-06-29T00:00:00,2014-07-25T13:47:00,Dallas,partner,Adoption,Neutered Male
5 months,A682065,Cat,Domestic Shorthair Mix,Black,2013-12-23T00:00:00,2014-06-23T18:41:00,Baby,Suffering,Euthanasia,Intact Female
3 years,A672258,Dog,Pit Bull Mix,Blue/White,2011-02-06T00:00:00,2014-06-19T15:54:00,Lola,Foster,Adoption,Spayed Female
1 week,A676400,Cat,Domestic Shorthair Mix,Tortie,2014-04-02T00:00:00,2014-04-09T14:12:00,Lucy,Partner,Transfer,Intact Female
1 year,A651452,Dog,Border Collie/Labrador Retriever,Black/White,2012-04-10T00:00:00,2013-11-09T15:09:00,*Kenny,Foster,Adoption,Neutered Male
1 month,A681570,Dog,Labrador Retriever/Blue Lacy,Black/White,2014-05-13T00:00:00,2014-07-11T17:51:00,*Big Joe,Foster,Adoption,Neutered Male
4 months,A686224,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-04-18T00:00:00,2014-08-19T12:12:00,Lucy,Partner,Transfer,Intact Male
8 months,A669759,Dog,German Shepherd Mix,Black/Brown,2013-06-26T00:00:00,2014-03-16T18:24:00,Roxy,partner,Adoption,Spayed Female
1 year,A672488,Dog,Chihuahua Shorthair Mix,Brown Brindle,2013-02-11T00:00:00,2014-02-19T14:49:00,Lucy,Partner,Transfer,Neutered Male
2 months,A678376,Cat,Domestic Shorthair Mix,Blue,2014-03-08T00:00:00,2014-05-12T00:00:00,Lucy,Enroute,Died,Intact Female
14 years,A570741,Dog,Australian Shepherd Mix,Blue/Tan,2000-04-11T00:00:00,2014-07-06T14:19:00,Scott,partner,Return to Owner,Neutered Male
4 weeks,A677364,Cat,Siamese Mix,Lynx Point,2014-03-24T00:00:00,2014-04-27T12:38:00,*Arwen,Partner,Transfer,Intact Female
2 years,A622351,Dog,Chihuahua Shorthair Mix,Brown,2011-08-19T00:00:00,2014-02-24T11:17:00,Alvin,Partner,Transfer,Intact Male
6 years,A669983,Dog,Whippet Mix,Gray/Black,2007-12-31T00:00:00,2014-01-02T12:55:00,Susie,partner,Return to Owner,Spayed Female
1 year,A674393,Dog,Chihuahua Shorthair Mix,Brown,2013-03-12T00:00:00,2014-03-19T18:14:00,*Niles,partner,Adoption,Neutered Male
2 months,A674736,Cat,Domestic Shorthair Mix,Orange Tabby,2014-03-15T00:00:00,2014-05-27T08:27:00,*Barbara,Foster,Adoption,Intact Female
1 month,A683139,Cat,Domestic Shorthair Mix,Orange Tabby,2014-05-19T00:00:00,2014-07-12T11:44:00,*Bobby,Partner,Transfer,Intact Male
2 weeks,A682974,Cat,Domestic Shorthair Mix,Black,2014-06-20T00:00:00,2014-07-05T14:04:00,Lucy,Partner,Transfer,Intact Female
9 months,A669309,Dog,Pit Bull Mix,Brown Brindle/White,2013-03-18T00:00:00,2013-12-21T17:51:00,Bella,Partner,Transfer,Intact Female
3 months,A685096,Cat,Domestic Shorthair Mix,Orange Tabby,2014-04-17T00:00:00,2014-08-03T09:00:00,Lucy,SCRP,Transfer,Unknown
2 months,A682286,Cat,Domestic Shorthair Mix,Tortie,2014-04-26T00:00:00,2014-07-12T16:49:00,*Seven,partner,Adoption,Spayed Female
1 month,A683526,Cat,Domestic Medium Hair,Blue Tabby/White,2014-06-06T00:00:00,2014-07-14T15:24:00,Lucy,Partner,Transfer,Intact Male
6 years,A674985,Dog,Anatol Shepherd Mix,Cream,2008-03-21T00:00:00,2014-03-21T13:07:00,Yankee,partner,Return to Owner,Neutered Male
1 year,A686812,Cat,Siamese,Seal Point,2013-03-27T00:00:00,2014-08-30T16:50:00,Sy,partner,Adoption,Neutered Male
2 years,A682544,Dog,Labrador Retriever Mix,Black/White,2012-06-29T00:00:00,2014-07-06T17:03:00,Shekina,partner,Adoption,Spayed Female
3 years,A676345,Dog,Norfolk Terrier/Yorkshire Terrier,Tan/Black,2011-04-08T00:00:00,2014-04-13T18:01:00,Parker,partner,Adoption,Neutered Male
1 day,A664641,Cat,Domestic Shorthair Mix,Tortie,2013-10-05T00:00:00,2013-10-06T18:48:00,Lucy,Partner,Transfer,Intact Female
1 year,A660675,Other,Rabbit Sh Mix,Black/White,2013-02-10T00:00:00,2014-02-12T16:33:00,Gumdrop,Partner,Transfer,Intact Female
3 months,A676919,Dog,Chihuahua Shorthair Mix,Tan/White,2014-01-02T00:00:00,2014-04-17T13:39:00,Suca,Partner,Transfer,Intact Female
9 years,A672404,Cat,Domestic Shorthair Mix,Tortie,2005-02-09T00:00:00,2014-02-15T11:03:00,*Goldie,Partner,Transfer,Spayed Female
4 years,A631581,Dog,Bull Terrier Mix,Black/White,2009-07-05T00:00:00,2014-01-04T19:23:00,Lola,Foster,Adoption,Spayed Female
8 years,A665376,Dog,Chihuahua Shorthair Mix,Tan/White,2005-10-17T00:00:00,2013-10-20T13:35:00,Lucy,Suffering,Euthanasia,Neutered Male
3 months,A686312,Cat,Domestic Shorthair Mix,Black,2014-05-19T00:00:00,2014-08-20T14:47:00,Lucy,Suffering,Euthanasia,Intact Female
3 years,A676565,Dog,Chihuahua Shorthair Mix,Cream,2011-04-11T00:00:00,2014-04-19T11:44:00,Lady,Partner,Transfer,Spayed Female
1 year,A678881,Dog,Labrador Retriever/Collie Smooth,Black/White,2012-11-13T00:00:00,2014-07-13T12:27:00,*Clancy,partner,Adoption,Neutered Male
4 years,A681090,Dog,Chihuahua Shorthair/Dachshund,Black/Brown,2010-06-12T00:00:00,2014-07-05T17:21:00,Princessa,partner,Adoption,Spayed Female
1 year,A683938,Dog,Australian Kelpie Mix,White/Buff,2013-07-17T00:00:00,2014-07-23T16:55:00,Jack,partner,Adoption,Neutered Male
2 years,A686582,Dog,Pit Bull Mix,Black/White,2012-08-23T00:00:00,2014-08-30T11:46:00,*Socks,Partner,Transfer,Intact Female
7 months,A667321,Other,Fox Mix,Gray/Orange,2013-04-16T00:00:00,2013-11-16T11:58:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 month,A678677,Dog,Labrador Retriever Mix,Brown,2014-03-11T00:00:00,2014-05-11T17:01:00,Lucy,Partner,Transfer,Intact Female
5 years,A676657,Cat,Domestic Shorthair Mix,Calico Point,2009-04-13T00:00:00,2014-04-14T13:08:00,Kylie,Partner,Transfer,Spayed Female
2 years,A674895,Cat,Domestic Shorthair Mix,Brown Tabby/White,2012-03-19T00:00:00,2014-03-29T11:38:00,Jazzper,partner,Return to Owner,Intact Female
4 months,A664369,Dog,Labrador Retriever/German Shepherd,Black,2013-05-27T00:00:00,2013-10-12T18:00:00,Max,partner,Return to Owner,Neutered Male
1 year,A664916,Dog,Pug Mix,Brown/White,2012-05-10T00:00:00,2013-10-16T17:12:00,*Phoenix,Partner,Transfer,Intact Male
5 months,A674546,Dog,Labrador Retriever/German Shepherd,Tan,2013-10-14T00:00:00,2014-03-22T14:00:00,*Dermott,partner,Adoption,Neutered Male
4 months,A681455,Dog,Labrador Retriever Mix,Brown/White,2014-02-16T00:00:00,2014-06-22T17:47:00,Lucy,partner,Adoption,Spayed Female
6 years,A581151,Dog,Labrador Retriever Mix,Brown/White,2007-08-04T00:00:00,2013-10-06T11:19:00,Molly,partner,Return to Owner,Spayed Female
2 months,A681406,Dog,Plott Hound/Labrador Retriever,Tan,2014-04-10T00:00:00,2014-06-16T15:11:00,Lucy,Partner,Transfer,Intact Male
2 years,A682485,Cat,Domestic Shorthair Mix,Blue Tabby,2012-06-28T00:00:00,2014-06-29T09:00:00,Lucy,SCRP,Transfer,Intact Male
2 weeks,A674521,Cat,Domestic Shorthair Mix,Black,2014-02-27T00:00:00,2014-03-14T14:09:00,Lucy,Partner,Transfer,Intact Male
2 weeks,A677685,Cat,Domestic Medium Hair Mix,Tortie,2014-04-08T00:00:00,2014-04-28T10:35:00,Lucy,Partner,Transfer,Intact Female
2 years,A675152,Dog,Pit Bull Mix,Brown Brindle,2012-03-24T00:00:00,2014-05-24T15:30:00,*Madelyn,Partner,Transfer,Spayed Female
7 years,A676309,Dog,Labrador Retriever Mix,Brown,2007-04-07T00:00:00,2014-04-18T12:03:00,Snickers,Partner,Transfer,Intact Male
2 years,A686610,Dog,German Shepherd Mix,Black/Tan,2012-08-24T00:00:00,2014-08-24T14:46:00,Chapo,partner,Return to Owner,Neutered Male
1 year,A683233,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-07-08T00:00:00,2014-08-06T14:37:00,*Lucas,Partner,Transfer,Neutered Male
3 years,A619861,Dog,Pit Bull/Boxer,Brown/White,2011-02-08T00:00:00,2014-02-12T12:56:00,*Jessie,partner,Adoption,Spayed Female
6 months,A681511,Dog,Chihuahua Shorthair/Welsh Terrier,Black/Brown,2013-12-17T00:00:00,2014-06-23T19:17:00,Snickers,partner,Adoption,Spayed Female
